B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
490,796,954,836,815,432,396,584,245,232,207,148,-0.177464789,1.141148325,-0.012719564,0.384377417,0.876310273,1.050251256,1.706122449,26.72,12.32
506,772,931,815,779,407,374,560,228,159,200,143,-0.185454545,1.142331288,-0.022584693,0.386814932,0.875402793,1.055699482,1.610671937,26.72,12.32
246,342,456,290,227,81,75,71,49,20,16,16,-0.606648199,1.572413793,-0.121856867,0.371323529,0.635964912,0.847953216,1.178861789,26.84,12.77
248,324,442,281,220,77,71,68,46,16,16,16,-0.610315186,1.572953737,-0.121756487,0.381088825,0.635746606,0.867283951,1.133064516,26.84,12.77
397,438,586,474,437,171,176,138,113,5,31,22,-0.549019608,1.23628692,-0.040614709,0.415220294,0.80887372,1.082191781,1.19395466,23.35,17.46
434,400,558,455,430,162,166,125,101,1,28,21,-0.568965517,1.226373626,-0.028248588,0.433828733,0.815412186,1.1375,1.048387097,23.35,17.46
275,320,364,335,328,177,174,155,138,79,98,80,-0.367346939,1.086567164,-0.010558069,0.371933268,0.92032967,1.046875,1.218181818,17.31,20.94
408,466,539,422,394,212,204,174,149,105,70,54,-0.416107383,1.277251185,-0.034313725,0.34688157,0.782931354,0.905579399,1.034313725,24.78,21.31
313,321,417,321,302,152,147,137,109,75,59,44,-0.401746725,1.299065421,-0.030497592,0.393767705,0.769784173,1,1.025559105,23.92,20.53
1826,1305,1276,1121,1412,1901,2197,2146,2299,3276,1785,1266,0.313743496,1.138269402,0.114883537,0.294975689,0.878526646,0.859003831,0.613910186,21.29,31.17
399,451,569,515,803,1262,1447,1478,1545,1516,1343,901,0.483191169,1.104854369,0.218512898,0.41237785,0.905096661,1.141906874,1.290726817,18.38,30.9
415,421,579,547,865,1276,1458,1513,1645,1514,1292,778,0.468932039,1.058500914,0.225212465,0.45572075,0.944732297,1.299287411,1.318072289,16.88,28.71
402,359,493,432,663,1043,1212,1220,1341,1215,1098,639,0.476997579,1.141203704,0.210958904,0.440809969,0.876267748,1.203342618,1.074626866,29.36,28.78
341,337,428,323,316,175,169,157,133,105,73,61,-0.345833333,1.325077399,-0.010954617,0.380514706,0.754672897,0.958456973,0.947214076,20.51,22.65
377,330,422,319,309,169,165,155,133,93,72,60,-0.345991561,1.322884013,-0.015923567,0.383753501,0.755924171,0.966666667,0.846153846,20.51,22.65
663,797,930,896,918,639,638,598,533,431,394,363,-0.199464525,1.037946429,0.012127894,0.392298894,0.96344086,1.124215809,1.351432881,26.06,22.44
696,774,913,883,909,630,629,588,524,438,390,362,-0.200543848,1.033975085,0.014508929,0.39766537,0.967141292,1.140826873,1.268678161,26.06,22.44
352,435,613,526,526,270,264,223,209,158,136,116,-0.404539386,1.16539924,0,0.447268107,0.858075041,1.209195402,1.494318182,25.34,25.9
489,487,644,549,542,295,290,248,232,196,142,118,-0.377666248,1.173041894,-0.006416132,0.420238095,0.852484472,1.127310062,1.122699387,25.34,25.9
754,868,1029,905,928,682,658,636,599,605,537,476,-0.174561973,1.137016575,0.012547736,0.380442541,0.879494655,1.042626728,1.200265252,26.15,27.78
803,851,1017,894,919,675,651,629,593,620,534,474,-0.173998687,1.137583893,0.0137893,0.38377987,0.879056047,1.05052879,1.113325031,26.15,27.78
781,779,948,798,810,545,545,485,486,364,405,352,-0.24395947,1.187969925,0.007462687,0.382970297,0.841772152,1.024390244,1.021766965,31.49,31.27
414,470,582,440,459,202,207,171,141,7,80,61,-0.440261866,1.322727273,0.021134594,0.36997319,0.756013746,0.936170213,1.062801932,29.81,31.39
494,583,769,622,642,424,423,392,392,299,329,292,-0.226824458,1.236334405,0.015822785,0.409321175,0.808842653,1.066895369,1.259109312,29.07,30.26
1411,1012,1250,1183,1359,1276,1290,1092,1284,4695,1127,1278,-0.04,1.056635672,0.069236821,0.412481858,0.9464,1.168972332,0.838412473,31.12,30.08
324,370,435,245,224,136,146,115,117,27,66,51,-0.361111111,1.775510204,-0.044776119,0.295238095,0.563218391,0.662162162,0.75617284,33.23,30.31
390,379,441,253,237,149,157,123,124,74,69,53,-0.345744681,1.743083004,-0.032653061,0.293569432,0.573696145,0.667546174,0.648717949,33.23,30.31
312,362,498,350,287,106,114,108,77,31,28,21,-0.528384279,1.422857143,-0.098901099,0.401652893,0.702811245,0.966850829,1.121794872,28.86,24.22
329,347,485,342,282,103,111,105,75,36,27,21,-0.530201342,1.418128655,-0.096153846,0.408858603,0.705154639,0.985590778,1.039513678,28.86,24.22
376,469,626,545,495,214,211,199,140,40,53,45,-0.465053763,1.148623853,-0.048076923,0.42804878,0.870607029,1.162046908,1.449468085,29.51,23.94
398,447,607,532,490,209,206,193,136,49,52,44,-0.467586207,1.140977444,-0.04109589,0.436317781,0.876441516,1.1901566,1.336683417,29.51,23.94
314,446,561,361,318,111,113,90,60,1,12,18,-0.600886918,1.55401662,-0.063328424,0.347953216,0.643493761,0.80941704,1.149681529,31.12,20.29
325,427,547,353,300,103,107,88,60,1,11,17,-0.600907029,1.549575071,-0.081163859,0.356443105,0.645338208,0.826697892,1.086153846,31.12,20.29
423,574,697,620,616,285,276,230,159,1,7,10,-0.458823529,1.124193548,-0.003236246,0.392913802,0.889526542,1.080139373,1.46572104,29.84,22.5
437,545,671,602,588,272,267,222,154,1,7,9,-0.461165049,1.11461794,-0.011764706,0.400440044,0.897168405,1.104587156,1.377574371,29.84,22.5
